疾病病种,发病数,死亡数,date,year,month,url
甲乙丙类总计,19710.0,21.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
甲乙类传染病合计,11100.0,20.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
鼠疫,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
霍乱,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
传染性非典型肺炎,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
艾滋病,32.0,9.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
病毒性肝炎*,5984.0,1.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
甲型肝炎,20.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
乙型肝炎,5464.0,1.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
丙型肝炎,329.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
丁型肝炎,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
戊型肝炎,91.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
未分型肝炎,80.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
脊髓灰质炎,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
人感染高致病性禽流感,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
麻疹,19.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
流行性出血热,79.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
狂犬病,0.0,1.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
流行性乙型脑炎,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
登革热,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
炭疽,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
细菌性和阿米巴性痢疾,150.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
肺结核,2533.0,7.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
伤寒和副伤寒,1.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
流行性脑脊髓膜炎,1.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
百日咳,180.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
白喉,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
新生儿破伤风,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
猩红热,591.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
布鲁氏菌病,120.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
淋病,329.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
梅毒,1059.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
钩端螺旋体病,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
血吸虫病,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
疟疾,19.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
人感染H7N9流感,3.0,2.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
丙类传染病合计,8610.0,1.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
流行性感冒,1069.0,1.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
流行性腮腺炎,407.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
风疹,10.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
急性出血性结膜炎,67.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
麻风病,1.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
斑疹伤寒,2.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
黑热病,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
包虫病,1.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
丝虫病,0.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
其他感染性腹泻病,6301.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
手足口病,752.0,0.0,2017-1,2017,1,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201702/t20170207_3486519.html
甲乙丙类总计,22904.0,22.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
甲乙类传染病合计,11967.0,22.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
鼠疫,0.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
霍乱,0.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
传染性非典型肺炎,0.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
艾滋病,79.0,10.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
病毒性肝炎*,6132.0,2.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
甲型肝炎,27.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
乙型肝炎,5551.0,2.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
丙型肝炎,417.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
丁型肝炎,1.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
戊型肝炎,65.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
未分型肝炎,71.0,0.0,2017-10,2017,10,http://wsjkw.shandong.gov.cn/zwgk/zdmsgysy/fdcrb/201711/t20171113_3486392.html
